Model,Filter,RMSE,MAE,R2,TrainingSeconds
LSTM baseline,vanilla,106.0513132093051,106.02026462554932,-1837.5832678677584,0.02357039999999966
HybridQNN1,vanilla,138.60172256669108,138.57906532287598,-3139.4252297263342,1.4491956000000004
HybridQNN2,vanilla,127.01499450599371,126.98696708679199,-2636.3100497135315,1.5059588999999995
LSTM baseline,savgol,88.42669821499642,88.39563083648682,-1277.2565310292773,0.021382899999998983
HybridQNN1,savgol,134.856195867063,134.83697509765625,-2971.9870079657676,1.2904169999999997
HybridQNN2,savgol,109.37347157399373,109.34447956085205,-1954.5782407235924,1.4548938999999983
LSTM baseline,rolling,74.89279974901491,74.85094833374023,-915.9197657334698,0.024086900000000355
HybridQNN1,rolling,106.54295732755955,106.51417827606201,-1854.669787348255,1.2562937000000005
HybridQNN2,rolling,96.79426665412643,96.75154304504395,-1530.6180287046486,1.7071214999999995
