Filter,Config,ValidationROCAUC,ValidationBalancedAccuracy,TestROCAUC,TestBalancedAccuracy,TestAccuracy,TrainingSeconds,SelectedFeatures
none,{},0.49942004971002485,0.5179784589892296,0.5716540404040403,0.525462962962963,0.4897959183673469,2.2999430000000003,"volume, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.0001}",0.5509527754763878,0.4916321458160729,0.5648148148148148,0.5292508417508417,0.5612244897959183,0.5815907000000005,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.0001}",0.5206296603148302,0.5212096106048053,0.5277777777777777,0.5197811447811448,0.5102040816326531,1.6581347000000006,"rsi_14, macd, macd_signal"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.0001}",0.4190555095277548,0.5,0.4640151515151515,0.5,0.5510204081632653,0.532038,"volume, rsi_14, macd"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.001}",0.5395194697597349,0.5,0.5331439393939393,0.5,0.5510204081632653,0.5285527000000005,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.001}",0.5536039768019884,0.5272576636288319,0.5500841750841751,0.5313552188552189,0.5102040816326531,0.9104663999999989,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.001}",0.5552609776304888,0.4988400994200497,0.5184132996632997,0.5016835016835017,0.49489795918367346,1.6346314999999993,"rsi_14, macd, macd_signal"
kalman,"{""measurement_variance_ratio"": 0.01, ""process_variance_ratio"": 0.01}",0.46843413421706714,0.46661143330571664,0.5898569023569024,0.5875420875420876,0.5918367346938775,0.564691100000001,"volume, rsi_14, adx_14"
kalman,"{""measurement_variance_ratio"": 0.1, ""process_variance_ratio"": 0.01}",0.5067108533554266,0.4826843413421707,0.5622895622895623,0.5140993265993266,0.47959183673469385,0.9391217999999988,"rsi_14, macd, adx_14"
kalman,"{""measurement_variance_ratio"": 1.0, ""process_variance_ratio"": 0.01}",0.49130074565037285,0.5,0.5096801346801347,0.5,0.5510204081632653,0.6602540000000001,"rsi_14, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 5}",0.4782104391052195,0.4698425849212925,0.5340909090909091,0.5309343434343434,0.5051020408163265,0.6444380999999986,"volume, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 5}",0.5322286661143331,0.5,0.5194654882154881,0.5,0.5510204081632653,0.5163108999999988,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 7}",0.46396023198011604,0.4940347970173985,0.5494528619528619,0.5124158249158249,0.5612244897959183,0.5113747000000011,"volume, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 7}",0.48053024026512015,0.4829328914664457,0.5375631313131314,0.55239898989899,0.5357142857142857,0.9776609,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 11}",0.47903893951946974,0.5061309030654515,0.5651304713804713,0.5214646464646464,0.47959183673469385,0.8457965999999999,"volume, rsi_14, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 11}",0.48782104391052195,0.5026512013256007,0.5451388888888888,0.5336700336700336,0.5,0.7500149,"volume, macd, adx_14"
savgol,"{""polyorder"": 2, ""window_length"": 15}",0.45898922949461474,0.4712510356255178,0.5848063973063974,0.5618686868686869,0.5612244897959183,0.5006295999999999,"rsi_14, macd, adx_14"
savgol,"{""polyorder"": 3, ""window_length"": 15}",0.4521955260977631,0.47696768848384424,0.5797558922558922,0.5490319865319866,0.5204081632653061,0.8741856999999982,"volume, rsi_14, adx_14"
rolling,"{""window_days"": 10}",0.4966031483015742,0.4826843413421707,0.5833333333333334,0.5347222222222222,0.5,0.6571184999999993,"volume, rsi_14, adx_14"
